name,longitude,latitude,index,type
The Arches II,-86.90665046128494,40.42107565824428,29,apartment
Beograd,-86.90688224050801,40.421973641884975,30,apartment
Chauncey Place,-86.90714122934847,40.42207839435835,31,apartment
Unnamed,-86.90712711586256,40.422316719347414,32,apartment
Unnamed,-86.90587934787268,40.42050736765284,33,apartment
Unnamed,-86.90623013251968,40.42062764486104,34,apartment
Unnamed,-86.90592461428226,40.42078042173319,35,apartment
Unnamed,-86.90624355282088,40.4209374646335,36,apartment
Unnamed,-86.90652257384852,40.42733956155268,37,apartment
Unnamed,-86.90649005366838,40.42686406898948,38,apartment
Unnamed,-86.90764134763462,40.426878033407974,39,apartment
Aspire at Discovery Park,-86.92524399626906,40.423801337116146,40,apartment
Aspire at Discovery Park,-86.92426622167156,40.42364393607591,41,apartment
Unnamed,-86.92822400533228,40.423646823051655,42,apartment
Brown Laboratory of Chemistry,-86.91193963300898,40.42658408687359,0,university building
Stewart Center,-86.9127572104082,40.42504760995711,1,university building
Heavilon Hall,-86.91188583492769,40.42624463675587,2,university building
R. B. Wetherill Laboratory of Chemistry (WTHR),-86.9131003761986,40.426470559717025,3,university building
Purdue Student Union,-86.91126955485811,40.42496999778604,4,university building
Grissom Hall,-86.91086878572466,40.42639190356971,5,university building
Schleman Hall (SCHM),-86.91520866748952,40.4258078397486,6,university building
Haas (Felix) Hall (HAAS),-86.91634031997184,40.42682349708672,7,university building
Matthews Hall (MTHW),-86.9163797206034,40.42472115356379,8,university building
Psychological Sciences Building (PSYC),-86.9149676797935,40.42702553744181,9,university building
Beering Hall (BRNG),-86.91618798490182,40.42557092085062,10,university building
Mathematical Sciences Building (MATH),-86.91577719320031,40.426221886443074,11,university building
Stone Hall (STON),-86.91530883350762,40.424625543671404,12,university building
Young Hall (YONG),-86.91069872636919,40.42283037594741,13,university building
Yue-Kong Pao Hall,-86.9129802831248,40.42255400352922,14,university building
Philip E. Nelson Hall of Food Science (NLSN),-86.91550078659414,40.42156589689141,15,university building
Unnamed,-86.91512816220917,40.4231021740049,16,university building
National Soil Erosion Laboratory (SOIL),-86.92022143376259,40.42130678555061,17,university building
Life Science Plant and Soils Laboratory,-86.91873385955495,40.423156822978754,18,university building
Unnamed,-86.92062059590769,40.42315550576452,19,university building
