order_count,distance_uncharge,distance_charge,max_dist,obj_uncharge,obj_charge,num_veh,battery_swapping,num_vehicles,scenario
27,14.30046043719786,14.30046043719786,4.948593833496962,14.30046043719786,14.30046043719786,3,0,4,90
38,16.59037182944561,16.59037182944561,5.501499372413536,16.59037182944561,16.59037182944561,4,0,5,1
31,15.65810145774044,15.65810145774044,5.7076447487790025,15.65810145774044,15.65810145774044,3,0,5,2
32,14.496655150558615,14.496655150558615,5.0781475635975,14.496655150558615,14.496655150558615,4,0,5,3
31,17.283224178855928,17.283224178855928,7.197866206022344,17.283224178855928,17.283224178855928,3,0,5,4
34,13.412141001901402,13.412141001901402,5.924124175127692,13.412141001901402,13.412141001901402,3,0,5,5
33,16.39897287086632,16.39897287086632,5.728653982377869,16.39897287086632,16.39897287086632,4,0,5,6
48,20.558329501534793,20.558329501534793,5.8305597325611735,20.558329501534793,20.558329501534793,5,0,5,7
53,20.619324070737072,20.619324070737072,6.1305162364696075,20.619324070737072,20.619324070737072,5,0,5,8
41,17.59016429095157,17.59016429095157,6.347971839387577,17.59016429095157,17.59016429095157,4,0,5,9
42,19.710435955112033,19.710435955112033,6.9120894279642595,19.710435955112033,19.710435955112033,4,0,5,10
41,17.67555271104925,17.67555271104925,6.975142605043061,17.67555271104925,17.67555271104925,3,0,5,11
36,14.62714404662781,14.62714404662781,4.711331353225546,14.62714404662781,14.62714404662781,4,0,5,12
42,17.509327426149852,17.509327426149852,5.471577168280165,17.509327426149852,17.509327426149852,4,0,5,13
32,13.966302335118744,13.966302335118744,6.072022692532342,13.966302335118744,13.966302335118744,3,0,5,14
35,18.6355735891732,18.6355735891732,7.2311519007792,18.6355735891732,18.6355735891732,4,0,5,15
35,17.849656380876635,17.849656380876635,6.051167559372166,17.849656380876635,17.849656380876635,3,0,5,16
34,16.602995016590654,16.602995016590654,5.930460312923311,16.602995016590654,16.602995016590654,4,0,5,17
39,19.020369219680116,19.020369219680116,6.716151341543736,19.020369219680116,19.020369219680116,4,0,5,18
34,14.976688580411848,14.976688580411848,6.755844631960929,14.976688580411848,14.976688580411848,3,0,5,19
37,16.49704412989176,16.49704412989176,6.264206444878024,16.49704412989176,16.49704412989176,3,0,5,20
41,17.5921501982179,17.5921501982179,6.391069009656133,17.5921501982179,17.5921501982179,4,0,5,21
33,12.585528850336166,12.585528850336166,4.76056271515031,12.585528850336166,12.585528850336166,3,0,5,22
35,18.717563100401403,18.717563100401403,6.4338598431655205,18.717563100401403,18.717563100401403,4,0,5,23
33,15.386801421700822,15.386801421700822,4.622068052742119,15.386801421700822,15.386801421700822,4,0,5,24
38,15.776353039134055,15.776353039134055,6.527580871661675,15.776353039134055,15.776353039134055,3,0,5,25
43,18.479106963102886,18.479106963102886,6.802376129344949,18.479106963102886,18.479106963102886,5,0,5,26
47,19.050736948065666,19.050736948065666,6.237875775162489,19.050736948065666,19.050736948065666,4,0,5,27
37,15.786921346638996,15.786921346638996,4.700072079237452,15.786921346638996,15.786921346638996,4,0,5,28
48,20.619107833024717,20.619107833024717,5.593878857171262,20.619107833024717,20.619107833024717,5,0,5,29
35,15.696683112331764,15.696683112331764,4.962640585581668,15.696683112331764,15.696683112331764,4,0,5,30
45,20.72641020542583,20.72641020542583,5.338507711235662,20.72641020542583,20.72641020542583,5,0,5,31
41,17.12831222737271,17.12831222737271,5.732401481352605,17.12831222737271,17.12831222737271,4,0,5,32
41,20.253331800613918,20.253331800613918,6.988181490548921,20.253331800613918,20.253331800613918,4,0,5,33
47,20.0896765133533,20.0896765133533,7.1751612462251595,20.0896765133533,20.0896765133533,4,0,5,34
43,19.53235798526104,19.53235798526104,7.094766177439198,19.53235798526104,19.53235798526104,4,0,5,35
39,18.127519977133485,18.127519977133485,6.154700684752757,18.127519977133485,18.127519977133485,3,0,5,36
42,18.11131209067071,18.11131209067071,5.565524997825197,18.11131209067071,18.11131209067071,4,0,5,37
36,17.58104875290492,17.58104875290492,6.22598518647396,17.58104875290492,17.58104875290492,4,0,5,38
36,17.479813463904456,17.53846545788957,8.553849404103545,17.479813463904456,17.53846545788957,4,1,5,39
29,12.55165595834317,12.55165595834317,5.74078007133359,12.55165595834317,12.55165595834317,3,0,5,40
40,19.038354853542447,19.038354853542447,6.482534455118247,19.038354853542447,19.038354853542447,4,0,5,41
31,16.279786744876784,16.279786744876784,7.851065654243356,16.279786744876784,16.279786744876784,3,0,5,42
